date,enso,iod,pdo
2004-02-22,0.349096,0.47422,0.865787
2004-02-29,0.465208,0.329324,0.704779
2004-03-07,0.411055,-0.001935,0.727369
2004-03-14,0.252206,-0.311011,0.748772
2004-03-21,0.185288,-0.441501,0.524569
2004-03-28,0.125141,-0.598443,0.331276
2004-04-04,0.342899,-0.110052,0.581529
2004-04-11,0.465876,0.003181,0.594906
2004-04-18,0.463691,-0.088303,0.41731
2004-04-25,0.510797,-0.261949,0.716954
2004-05-02,0.404339,-0.064587,1.05668
2004-05-09,0.386427,-0.742712,1.11434
2004-05-16,0.378078,-1.136517,1.006666
2004-05-23,0.399269,-1.447563,1.140215
